,County,Town,WellNO,Latitude,Latitude_X,Latitude_Y,Longitude,Longitude_,Longitude1,llmethod,Elev,TOC,Well_Depth,Bedrock_We,Elev_1,GW_Depth,Cased_Dept,Case1_Dia,Case1_Lnth,Case2_Dia,Case2_Lnth,SCR,SCR1_Lnth,YT_AvgDisc,Case2_Ln_1,DDLAT,DDLONG,geometry,group,obsnme,DEC_Well_N,Rock_Depth,ls_elev_m,gw_elev_m,x,y
10,SULLIVAN,Neversink,SV867,41 49 26.6,49.4433333333,41.0,74 36 04.8,36.08,74.0,EST,1477.0,1.5,300,Y,20.0,50.0,39.5,6.0,41.0,0.0,0.0,N,0.0,4.0,0.0,41.82405556,-74.60133333,POINT (1749944.659262045 2289083.376673696),dec_all,SV867,,,408.82855,393.58855224609374,1749944.6592620448,2289083.376673696
11,SULLIVAN,Mamakating,SV835,41 35 24.8,35.4133333333,41.0,74 29 54.1,29.9016666667,74.0,,1149.0,2.0,340,Y,5.0,60.0,38.0,6.0,40.0,0.0,0.0,N,0.0,0.0,0.0,41.59022222,-74.49836111,POINT (1764091.436149818 2265485.123884842),dec_all,SV835,,,341.42755,323.13955126953124,1764091.4361498177,2265485.1238848423
12,SULLIVAN,Mamakating,SV852,41 36 00.3,36.005,41.0,74 30 55.2,30.92,74.0,EST,1314.0,2.0,360,Y,60.0,60.0,78.0,6.0,80.0,0.0,0.0,N,0.0,0.0,0.0,41.60008333,-74.51533333,POINT (1762475.400338882 2266245.690284347),dec_all,SV852,,,398.5751,380.2871037597656,1762475.4003388819,2266245.6902843467
13,SULLIVAN,Mamakating,SV869,41 36 18.1,36.3016666667,41.0,74 25 37.7,25.6283333333,74.0,EST,1217.0,2.0,240,Y,10.0,20.0,38.0,6.0,40.0,0.0,0.0,N,0.0,0.0,20.0,41.60502778,-74.42713889,POINT (1769461.376383824 2268423.779186934),dec_all,SV869,,,366.28394,360.187935546875,1769461.376383824,2268423.779186934
14,SULLIVAN,Mamakating,SV898,41 37 55.8,37.93,41.0,74 31 34.8,31.58,74.0,GPS,1506.0,2.0,360,Y,10.0,40.0,38.0,6.0,40.0,0.0,0.0,N,0.0,0.0,40.0,41.63216667,-74.52633333,POINT (1760784.030379399 2269540.909919255),dec_all,SV898,,,439.1617,426.96971264648437,1760784.0303793992,2269540.9099192554
15,ULSTER,Wawarsing,U2053,41 44 35.4,44.59,41.0,74 31 21.6,31.36,74.0,GPS,1004.0,2.0,200,Y,75.0,10.0,98.0,6.0,100.0,0.0,0.0,N,0.0,0.0,0.0,41.74316667,-74.52266667,POINT (1758296.24715078 2281714.061985543),dec_all,U2053,,,301.45273,298.4047282714844,1758296.2471507802,2281714.061985543
16,SULLIVAN,Mamakating,SV907,41 36 27.3,36.455,41.0,74 29 58.3,29.9716666667,74.0,EST,1416.0,1.5,503,Y,2.0,400.0,39.5,6.0,41.0,0.0,0.0,N,0.0,0.0,400.0,41.60758333,-74.49952778,POINT (1763561.528027919 2267356.869952112),dec_all,SV907,,,435.78424,313.86424072265623,1763561.528027919,2267356.8699521124
17,SULLIVAN,Mamakating,SV905,41 35 25.7,35.4283333333,41.0,74 30 08.0,30.1333333333,74.0,EST,1165.0,2.0,385,Y,10.0,100.0,40.0,6.0,42.0,0.0,0.0,N,0.0,0.0,0.0,41.59047222,-74.50222222,POINT (1763773.800608348 2265440.722237758),dec_all,SV905,,,343.09308,312.61307861328123,1763773.8006083479,2265440.722237758
18,SULLIVAN,Fallsburgh,SV851,41 42 01.0,42.0166666667,41.0,74 32 57.0,32.95,74.0,GPS,1160.0,2.0,200,Y,20.0,10.0,38.0,6.0,40.0,0.0,0.0,N,0.0,0.0,0.0,41.70027778,-74.54916667,POINT (1757237.83892706 2276546.639599311),dec_all,SV851,,,321.5289,318.4809001464844,1757237.8389270597,2276546.6395993107
19,ULSTER,Wawarsing,U2279,41 42 22.2,42.37,41.0,74 23 52.4,23.8733333333,74.0,,0.0,0.0,66,,0.0,6.75,0.0,12.0,67.0,0.0,0.0,Y,20.0,830.0,8.8,41.70616667,-74.39788889,POINT (1769268.495533954 2279995.591270743),dec_all,U2279,,,111.958664,109.90126394042969,1769268.495533954,2279995.591270743
20,SULLIVAN,Mamakating,SV913,41 35 33.3,35.555,41.0,74 27 49.1,27.8183333333,74.0,GPS,0.0,2.0,659,Y,189.0,10.0,197.0,6.0,199.0,0.0,0.0,N,0.0,12.0,10.0,41.59258333,-74.46363889,POINT (1766831.938600506 2266387.662541462),dec_all,SV913,,,165.09157,162.04356799316406,1766831.938600506,2266387.662541462
21,SULLIVAN,Fallsburgh,SV783,41 40 57.8,40.9633333333,41.0,74 32 23.6,32.3933333333,74.0,GPS,1150.0,1.0,560,Y,2.0,200.0,39.0,6.625,40.0,0.0,0.0,N,0.0,20.0,0.0,41.68272222,-74.53988889,POINT (1758424.762008417 2274803.618923188),dec_all,SV783,,,362.8171,301.8571081542969,1758424.7620084167,2274803.618923188
22,ULSTER,Wawarsing,U2084,41 41 09.2,41.1533333333,41.0,74 24 58.3,24.9716666667,74.0,GPS,356.0,0.0,685,,0.0,20.0,0.0,6.0,90.0,0.0,0.0,N,0.0,15.0,0.0,41.68588889,-74.41619444,POINT (1768306.03741206 2277444.109728184),dec_all,U2084,,,105.74047,99.64447088623047,1768306.0374120604,2277444.1097281836
23,ULSTER,N/A,U2243,41 47 37.8,47.63,41.0,74 31 07.8,31.13,74.0,,0.0,0.0,596,,0.0,250.0,0.0,6.0,30.0,0.0,0.0,N,0.0,0.5,0.0,41.79383333,-74.51883333,POINT (1757334.141148693 2287309.9620805),dec_all,U2243,,,380.98413,304.784130859375,1757334.1411486927,2287309.9620804996
24,SULLIVAN,Thompson,SV793,41 37 27.0,37.45,41.0,74 34 06.0,34.1,74.0,GPS,0.0,1.0,107,Y,45.0,30.0,52.0,6.0,53.0,0.0,0.0,N,0.0,7.0,30.0,41.62416667,-74.56833333,POINT (1757598.973971525 2267890.879456692),dec_all,SV793,,,460.6842,451.5402041015625,1757598.9739715252,2267890.8794566924
25,ULSTER,Wawarsing,U2441,41 48 11.0,48.1833333333,41.0,74 30 33.0,30.55,74.0,GPS,0.0,0.0,398,,0.0,75.0,0.0,6.0,20.0,0.0,0.0,N,0.0,4.5,0.0,41.80305556,-74.50916667,POINT (1757880.06807291 2288494.341398543),dec_all,U2441,,,377.66287,354.8028723144531,1757880.0680729104,2288494.3413985427
26,SULLIVAN,Thompson,SV967,41 37 15.5,37.2583333333,41.0,74 33 27.9,33.465,74.0,EST,1564.0,1.330000043,400,Y,4.0,10.0,38.66999817,6.0,40.0,0.0,0.0,N,0.0,100.0,10.0,41.62097222,-74.55775,POINT (1758532.10915138 2267738.234003114),dec_all,SV967,,,460.50006,457.45206103515625,1758532.10915138,2267738.234003114
27,SULLIVAN,Neversink,SV759,41 49 32.0,49.5333333333,41.0,74 36 09.7,36.1616666667,74.0,GPS,0.0,1.0,273,Y,8.0,160.0,19.0,6.0,20.0,0.0,0.0,N,0.0,5.0,0.0,41.82555556,-74.60269444,POINT (1749797.768646258 2289221.905136276),dec_all,SV759,,,444.02704,395.2590385742187,1749797.7686462582,2289221.905136276
28,SULLIVAN,Mamakating,SV978,41 35 39.0,35.65,41.0,74 31 10.3,31.1716666667,74.0,EST,1205.0,2.0,200,Y,5.0,40.0,58.0,6.0,60.0,0.0,0.0,N,0.0,0.0,0.0,41.59416667,-74.51952778,POINT (1762285.587368442 2265522.604700882),dec_all,SV978,,,364.09604,351.90403881835937,1762285.5873684417,2265522.604700882
29,SULLIVAN,Mamakating,SV991,41 38 25.8,38.43,41.0,74 27 24.0,27.4,74.0,GPS,697.0,0.0,300,,0.0,20.0,0.0,6.0,40.0,0.0,0.0,N,0.0,0.0,0.0,41.6405,-74.45666667,POINT (1766188.885277255 2271742.461386693),dec_all,SV991,,,222.81772,216.72171850585937,1766188.8852772545,2271742.461386693
30,SULLIVAN,Wurtsboro,SV994,41 35 54.0,35.9,41.0,74 30 58.8,30.98,74.0,GPS,1300.0,0.0,360,,0.0,100.0,0.0,6.0,60.0,0.0,0.0,N,0.0,0.0,0.0,41.59833333,-74.51633333,POINT (1762438.66621508 2266036.28215025),dec_all,SV994,,,406.28925,375.80924560546873,1762438.6662150798,2266036.28215025
31,SULLIVAN,Mamakating,SV943,41 36 13.5,36.225,41.0,74 29 49.8,29.83,74.0,EST,1330.0,2.0,360,Y,5.0,70.0,38.0,6.0,40.0,0.0,0.0,N,0.0,0.0,0.0,41.60375,-74.49716667,POINT (1763848.120727838 2266982.630611917),dec_all,SV943,,,365.83716,344.501158203125,1763848.1207278378,2266982.630611917
