name,value,group,weight
h_u7567,108.237,head,0.0906575
h_u7726,655.145,head,0.0906575
h_u7798,295.582,head,0.0906575
h_u7930,324.007,head,0.0906575
h_u7940,320.679,head,0.0906575
h_u7975,325.773,head,0.0906575
h_u8108,99.0641,head,0.0906575
h_u8160,329.896,head,0.0906575
h_u8161,348.188,head,0.0906575
h_u8254,95.668,head,0.0906575
h_u8303,394.579,head,0.0906575
h_u8309,316.22,head,0.0906575
h_u8311,269.033,head,0.0906575
h_u8339,137.864,head,0.0906575
h_u8432,307.844,head,0.0906575
h_u8468,88.3775,head,0.0906575
h_u8483,355.259,head,0.0906575
h_u8491,341.021,head,0.0906575
h_u8543,228.796,head,0.0906575
h_u8544,318.14,head,0.0906575
h_u8838,88.6187,head,0.0906575
h_u8851,282.818,head,0.0906575
h_u8990,293.467,head,0.0906575
h_u9042,510.423,head,0.0906575
perc_disc,-99999,budget,0
land_surf_obs_50_150,478.26,land_surface,0.435489
land_surf_obs_50_300,418.06,land_surface,0.435489
land_surf_obs_100_100,384.96,land_surface,0.435489
land_surf_obs_100_150,399.17,land_surface,0.435489
land_surf_obs_100_300,357.86,land_surface,0.435489
land_surf_obs_100_350,370.64,land_surface,0.435489
land_surf_obs_100_400,334.39,land_surface,0.435489
land_surf_obs_150_150,385.26,land_surface,0.435489
land_surf_obs_150_200,449.25,land_surface,0.435489
land_surf_obs_150_250,387.82,land_surface,0.435489
land_surf_obs_150_300,330.76,land_surface,0.435489
land_surf_obs_150_350,306.16,land_surface,0.435489
land_surf_obs_150_400,319.12,land_surface,0.435489
land_surf_obs_150_450,327.79,land_surface,0.435489
land_surf_obs_150_500,263.05,land_surface,0.435489
land_surf_obs_200_150,446.98,land_surface,0.435489
land_surf_obs_200_200,377.85,land_surface,0.435489
land_surf_obs_200_250,363.4,land_surface,0.435489
land_surf_obs_200_300,311.86,land_surface,0.435489
land_surf_obs_200_350,346.03,land_surface,0.435489
land_surf_obs_200_400,328.37,land_surface,0.435489
