name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
H_SV809,282.697,1.67305,276.921,288.762,277.678,287.716,321.531,4.77463,312.642,334.728,307.207,335.855,19.4916
H_SV810,350.797,1.60322,345.769,355.386,345.987,355.607,368.425,1.71597,364.513,374.279,363.277,373.573,7.67052
H_SV835,323.027,1.65606,318.476,327.969,318.059,327.995,307.25,0.19126,307.028,307.99,306.676,307.824,10.2351
H_SV869,360.217,1.66555,355.624,364.838,355.22,365.214,331.022,1.60626,328.6,336.21,326.204,335.841,19.3792
H_SV907,313.904,1.65385,309.1,319.021,308.943,318.866,396.143,0.11909,396.009,396.709,395.786,396.5,76.9199
H_SV946,366.868,1.71109,361.254,371.598,361.735,372.002,392.912,0.681449,392.198,395.939,390.868,394.956,18.8658
H_SV949,333.327,1.61262,328.385,337.557,328.489,338.165,315.714,0.44084,315.156,317.375,314.391,317.036,11.4528
H_SV991,216.761,1.70618,211.733,221.387,211.643,221.88,207.735,0.750654,204.74,209.715,205.483,209.987,1.65558
H_U1936,319.051,1.71327,314.128,325.193,313.912,324.191,291.642,5.87157,280.415,304.96,274.027,309.256,4.65521
H_U2243,304.755,1.60309,300.12,309.589,299.946,309.564,347.046,1.89877,343.202,352.862,341.35,352.743,31.7856
H_U2279,109.856,1.74338,104.832,115.207,104.625,115.086,98.5725,0.274693,97.8625,99.4189,97.7485,99.3966,5.22876
H_U2744,167.253,1.58334,163.324,171.72,162.503,172.003,149.157,0.550778,148.528,151.501,147.505,150.809,11.6935
H_U3433,304.231,1.63947,299.316,309.177,299.313,309.15,333.5,2.45156,329.294,341.051,326.145,340.854,16.9951
H_U5100,359.066,1.61685,354.763,364.018,354.215,363.916,333.481,4.33748,324.812,346.156,320.469,346.494,7.72127
H_U5180,359.067,1.71199,353.942,364.817,353.931,364.203,333.481,4.33748,324.812,346.156,320.469,346.494,7.43681
H_U5326,168.113,1.81487,162.257,174.211,162.668,173.558,147.358,1.19463,145.307,151.719,143.774,150.942,11.7264
H_U5567,305.424,1.66468,300.254,310.576,300.43,310.418,314.151,0.468382,313.102,315.347,312.746,315.556,2.32798
H_U5599,304.554,1.70965,297.099,309.417,299.425,309.683,313.632,0.9768,311.501,317.634,310.701,316.562,1.01801
H_U5600,305.053,1.58882,300.797,309.625,300.287,309.82,315.19,1.01987,312.95,319.507,312.13,318.249,2.31014
H_U5908,359.077,1.56591,354.098,364.415,354.38,363.775,392.037,0.368853,391.667,394.177,390.93,393.143,27.1551
H_U5909,346.845,1.61725,340.136,351.707,341.993,351.697,383.784,2.15096,380.728,391.254,377.332,390.237,25.6349
H_U7190,188.812,1.65032,183.87,194.061,183.861,193.763,327.507,4.09349,319.028,340.013,315.226,339.787,121.463
H_U8108,99.1093,1.64805,94.5586,103.715,94.1652,104.053,107.296,0.825162,105.287,110.27,104.821,109.771,0.767058
H_U8254,95.7324,1.72522,90.7872,101.009,90.5568,100.908,102.867,0.389752,102.096,104.463,101.698,104.036,0.789701
H_U8303,394.648,1.7631,389.251,400.868,389.359,399.937,377.715,1.6713,375.073,382.346,372.701,382.729,6.62999
H_U8311,269.199,1.67487,264.701,274.527,264.174,274.223,293.091,4.50411,283.962,305.694,279.578,306.603,5.35516
H_U8468,88.4384,1.62202,83.7737,92.4887,83.5723,93.3045,95.5558,0.516573,94.1872,96.9053,94.0061,97.1055,0.701612
H_U8483,355.402,1.67761,350.014,360.221,350.369,360.435,402.298,2.98255,393.623,408.23,393.35,411.246,32.9157
H_U8543,228.848,1.68178,224.71,234.549,223.802,233.893,312.456,0.663916,310.877,314.502,310.465,314.448,76.5716
H_U8544,318.127,1.7495,313.705,322.876,312.878,323.375,416.522,3.64616,410.972,427.174,405.583,427.46,82.2082
H_U8851,282.796,1.74841,278.159,287.715,277.551,288.041,343.084,0.796479,340.123,345.165,340.694,345.473,52.6533
H_U8990,293.4,1.70358,288.754,298.579,288.289,298.511,362.287,5.4253,351.059,376.752,346.011,378.563,47.5004
H_U9042,510.398,1.727,505.591,515.415,505.217,515.579,491.039,0.457407,490.375,492.69,489.667,492.411,12.8056
