iteration,total_runs,obs_realization,par_realization,flux,head,budget,land_surface
0,488,320,320,2745.2,2859.37,0,10297.4
0,488,321,321,6947.49,2982.71,0,12765.3
0,488,322,322,2430,3459.34,0,3263.58
0,488,323,323,1114.39,5009.88,0,6533.07
0,488,324,324,2138.09,6951.07,0,21503.2
0,488,325,325,3437.89,2631.07,0,8393.44
0,488,326,326,6217.27,6621.57,0,10885.4
0,488,327,327,2286.31,2774.57,0,11605.5
0,488,329,329,2065.74,2683.03,0,5966.22
0,488,330,330,3287.74,2674.49,0,7038.7
0,488,331,331,9150.44,2615.64,0,8707.33
0,488,332,332,4280.76,2891.25,0,10615.7
0,488,333,333,1509.51,2691.33,0,6383.68
0,488,334,334,6389.78,2683.45,0,10321.6
0,488,335,335,6283.82,2702.08,0,10581.7
0,488,336,336,3342.14,2670.35,0,9546.19
0,488,338,338,2465.63,2813.02,0,12048.1
0,488,339,339,4700.74,2981.06,0,12689.5
0,488,340,340,3215.73,2636.41,0,8256.31
0,488,341,341,5962.75,3437.9,0,3619.39
0,488,342,342,1371,8311.31,0,68183.8
0,488,343,343,1646.04,2945.43,0,12392.3
0,488,344,344,5390.74,2689.3,0,10559
0,488,345,345,3958.75,3017.16,0,12890.2
0,488,346,346,2425.82,4414.22,0,4522.1
0,488,347,347,2260.66,2625.93,0,8344.58
0,488,348,348,8677.81,4914.48,0,4533.14
0,488,349,349,3516.05,2817.66,0,10964.6
0,488,350,350,4356.2,11604.9,0,89185.9
0,488,351,351,1145.32,2937.21,0,12518.9
0,488,352,352,3025.3,16063.8,0,206282
0,488,353,353,1224.84,2929.4,0,12782.4
0,488,354,354,2340.27,3112.32,0,13086
0,488,355,355,4762.09,13013.1,0,75906.9
0,488,356,356,4384.04,3528.36,0,14276.1
0,488,357,357,2449.28,2878.21,0,9237.11
0,488,358,358,7354.22,4180.53,0,3554.56
0,488,359,359,1219.58,2782.2,0,11147.9
0,488,360,360,3159.41,3229.44,0,3725.56
0,488,361,361,1626.21,3087.22,0,3744.17
0,488,362,362,2174.54,2698.24,0,10292.7
0,488,363,363,7706.33,2865.99,0,5151.86
0,488,364,364,3421.84,3851.34,0,3760.97
0,488,365,365,5549.14,2650.93,0,7339.97
0,488,366,366,2016.97,2767.7,0,11074.8
0,488,367,367,7616.35,2676.63,0,6601.97
0,488,368,368,5013.54,3212.48,0,13649.9
0,488,369,369,3619.52,2866.36,0,12251.5
0,488,370,370,5830.88,2983.35,0,4775.86
0,488,371,371,5103.89,2784.77,0,11542.1
0,488,372,372,4905.03,2730.3,0,6058.85
0,488,373,373,4307.76,3377.37,0,3837.14
0,488,374,374,5524.75,2658.49,0,9431.62
0,488,375,375,5650.4,3497.84,0,14467
0,488,376,376,1478.49,2669.39,0,9894.16
0,488,377,377,5162.92,5556.29,0,6727.23
0,488,378,378,4355.07,5569.27,0,16564.2
0,488,379,379,2326.63,2658.94,0,7319.37
0,488,380,380,1960.49,8920.14,0,43641.4
0,488,381,381,5905.19,2844.01,0,11932.2
0,488,383,383,5590.76,3769.07,0,3631.14
0,488,384,384,1650.65,2981.08,0,4520.21
0,488,385,385,5283.82,2988.92,0,4432.19
0,488,386,386,8047.31,3638.66,0,4201.09
0,488,387,387,5678.06,2716.69,0,11002.8
0,488,388,388,3003.56,2766.39,0,10620.9
0,488,389,389,6985.56,6410.59,0,51429
0,488,390,390,5941.43,6354.59,0,18301.4
0,488,391,391,8956.2,4446.48,0,6145.52
0,488,392,392,7395.33,3597.02,0,15360.2
0,488,393,393,3272.88,2786.43,0,10590.2
0,488,394,394,11708.3,65624.4,0,719108
0,488,395,395,3674.73,2638.38,0,7889.27
0,488,396,396,3835.88,2670.52,0,10191.7
0,488,397,397,5562.39,2819.57,0,5133.1
0,488,398,398,1517.67,2811.18,0,11299.8
0,488,399,399,1992.38,93409.9,0,668638
0,488,400,400,5880.95,2739.95,0,11155.5
0,488,401,401,6338.49,2644.8,0,8269.98
0,488,402,402,2465.46,2803.97,0,4869.87
0,488,403,403,5038.99,3277.29,0,13870.5
0,488,404,404,10331.1,2971.9,0,4513.18
0,488,405,405,4362.26,4449.26,0,4409.48
0,488,406,406,1718.49,2912.82,0,12342.6
0,488,407,407,3040.52,2992.34,0,11359.8
0,488,408,408,8068.18,3480.22,0,13970.5
0,488,409,409,2810.41,27651.2,0,301314
0,488,410,410,12198.3,2686.6,0,10392.5
0,488,411,411,5505.05,2649.29,0,7321.37
0,488,412,412,738.286,2635.3,0,7831.69
0,488,413,413,5503.6,7981.77,0,39906.5
0,488,414,414,7761.86,3571.51,0,15175.1
0,488,415,415,1532.69,2653.6,0,8837.16
0,488,416,416,1076.43,2673.26,0,8251.86
0,488,418,418,6046.42,9383.12,0,37535.6
0,488,419,419,5656.23,3331.93,0,14270.1
0,488,420,420,3761.6,2809.5,0,11276.1
0,488,421,421,2289.56,2642.38,0,7790.58
0,488,422,422,1028.77,2682.39,0,10720.5
0,488,423,423,5104.24,2667.62,0,7621.66
0,488,424,424,1038.46,5900.14,0,17266.2
0,488,425,425,7096.65,2678.49,0,6382.67
0,488,426,426,541.163,2678.45,0,6883.79
0,488,427,427,3009.01,4412.85,0,3995.06
0,488,428,428,7895.89,2702.34,0,10378
0,488,429,429,3632.63,2727.52,0,7480.13
0,488,430,430,1784.79,2790.78,0,5232.88
